customerid,exited,surname,creditscore,geography,gender,age,tenure,balance,hascrcard,isactivemember,estimatedsalary,bank_products
15794171,1,Lombardo,475,,Female,45.0,0,134264.04,1,0,27822.99,CheckingAccount
15788448,0,Watson,490,Spain,Male,31.0,3,145260.23,0,1,114066.77,PersonalLoan
15729599,0,Lorenzo,804,Spain,Male,33.0,7,76548.6,0,1,98453.45,CertificateOfDeposit
15717426,0,Armstrong,850,France,Male,36.0,7,0.0,1,1,40812.9,HomeEquityLoan
15585768,0,Cameron,582,Germany,Male,41.0,6,70349.48,0,1,178074.04,"AutoLoan,MortgageLoan"
15619360,0,Hsiao,472,Spain,Male,40.0,4,0.0,1,0,70154.22,HomeEquityLoan
15738148,1,Clarke,465,France,Female,51.0,8,122522.32,0,0,181297.65,InvestmentFund
15687946,0,Osborne,556,France,Female,61.0,2,117419.35,1,1,94153.83,CreditCard
15755196,1,Lavine,834,France,Female,49.0,2,131394.56,0,0,194365.76,InvestmentFund
15684171,0,Bianchi,660,Spain,Female,61.0,5,155931.11,1,1,158338.39,HomeEquityLoan
15754849,0,Tyler,776,Germany,Female,32.0,4,109421.13,1,1,126517.46,"InvestmentFund,HomeEquityLoan"
15602280,1,Martin,829,Germany,Female,27.0,9,112045.67,1,1,119708.21,RetirementAccount
15771573,1,Okagbue,637,Germany,Female,39.0,9,137843.8,1,1,117622.8,PersonalLoan
15766205,0,Yin,550,Germany,Male,38.0,2,103391.38,0,1,90878.13,InvestmentFund
15771873,0,Buccho,776,Germany,Female,37.0,2,103769.22,1,0,194099.12,"MortgageLoan,RetirementAccount"
15616550,0,Dr. Chidiebele,698,Germany,Male,44.0,10,116363.37,1,0,198059.16,"RetirementAccount,SavingsAccount"
15768193,0,Trevisani,585,Germany,Male,36.0,5,146050.97,0,0,86424.57,"RetirementAccount,CertificateOfDeposit"
15683553,0,Dr. O'Brien,788,France,Female,33.0,5,0.0,0,0,116978.19,"AutoLoan,PersonalLoan"
15702298,1,Parkhill,655,Germany,Male,41.0,8,125561.97,0,0,164040.94,RetirementAccount
15569590,1,Yoo,601,Germany,Male,42.0,1,98495.72,1,0,40014.76,CertificateOfDeposit
15760861,0,Dr. Phillipps,619,France,Male,43.0,1,125211.92,1,1,113410.49,PersonalLoan
15630053,0,Tsao,656,France,Male,,5,127864.4,1,0,87107.57,CreditCard
15647091,0,Endrizzi,725,Germany,Male,19.0,0,75888.2,0,0,45613.75,CertificateOfDeposit
15623944,1,T'ien,511,Spain,Female,66.0,4,0.0,1,0,1643.11,SavingsAccount
15804771,0,Velazquez,614,France,Male,51.0,4,40685.92,1,1,46775.28,MortgageLoan
15651280,0,Hunter,742,Germany,Male,35.0,5,136857.0,0,0,84509.57,CreditCard
15773469,0,Clark,687,Germany,Female,27.0,9,152328.88,0,0,126494.82,"CertificateOfDeposit,InvestmentFund"
15702014,0,Jeffrey,555,Spain,Male,33.0,1,56084.69,0,0,178798.13,"SavingsAccount,CheckingAccount"
15751208,0,Pirozzi,684,Spain,Male,56.0,8,78707.16,1,1,99398.36,CreditCard
15592461,0,Jackson,603,,Male,26.0,4,109166.37,1,1,92840.67,AutoLoan
15789484,0,Hammond,751,Germany,Female,36.0,6,169831.46,1,1,27758.36,"SavingsAccount,RetirementAccount"
15696061,0,Brownless,581,Germany,Female,34.0,1,101633.04,1,0,110431.51,CertificateOfDeposit
15641582,0,Chibugo,735,Germany,Male,43.0,10,123180.01,1,1,196673.28,"CheckingAccount,SavingsAccount"
15638424,0,Glauert,661,Germany,Female,35.0,5,150725.53,0,1,113656.85,"SavingsAccount,MortgageLoan"
15755648,0,Prof. Pisano,675,France,Female,21.0,8,98373.26,1,0,18203.0,CheckingAccount
15703793,1,Konovalova,738,Germany,Male,58.0,2,133745.44,1,0,28373.86,"HomeEquityLoan,CreditCard,RetirementAccount,InvestmentFund"
15620344,0,McKee,813,France,Male,29.0,6,0.0,1,0,33953.87,MortgageLoan
15812518,0,Palermo,657,Spain,Female,37.0,0,163607.18,0,1,44203.55,MortgageLoan
15779052,0,Ballard,604,Germany,Female,25.0,5,157780.84,1,1,58426.81,"SavingsAccount,CreditCard"
15770811,0,Wallace,519,France,Male,36.0,9,0.0,0,1,145562.4,"CheckingAccount,SavingsAccount"
15780961,0,Cavenagh,735,France,Female,21.0,1,178718.19,1,0,22388.0,"RetirementAccount,HomeEquityLoan"
15614049,0,Hu,664,France,Male,55.0,8,0.0,1,1,139161.64,"RetirementAccount,SavingsAccount"
15662085,0,Read,678,France,Female,32.0,9,0.0,1,1,148210.64,CertificateOfDeposit
15575185,0,Bushell,757,Spain,Male,33.0,5,77253.22,0,1,194239.63,CreditCard
15803136,0,Postle,416,Germany,Female,41.0,10,122189.66,1,0,98301.61,"MortgageLoan,PersonalLoan"
15706021,0,Buley,665,France,Female,34.0,1,96645.54,0,0,171413.66,"PersonalLoan,MortgageLoan"
15663706,1,Leonard,777,France,Female,32.0,2,0.0,1,0,136458.19,CheckingAccount
15641732,0,Mills,543,France,Female,36.0,3,0.0,0,0,26019.59,"PersonalLoan,CreditCard"
15701164,0,Onyeorulu,506,France,Female,34.0,4,90307.62,1,1,159235.29,CheckingAccount
15738751,0,Beit,493,France,Female,46.0,4,0.0,1,0,1907.66,"PersonalLoan,InvestmentFund"
15805254,0,Ndukaku,652,Spain,Female,75.0,10,0.0,1,1,114675.75,"SavingsAccount,MortgageLoan"
15762418,1,Gant,750,Spain,Male,22.0,3,121681.82,1,0,128643.35,CertificateOfDeposit
15625759,0,Rowley,729,France,Male,30.0,9,0.0,1,0,151869.35,"RetirementAccount,AutoLoan"
15622897,1,Sharpe,646,France,Female,46.0,4,0.0,1,0,93251.42,"CheckingAccount,MortgageLoan,CreditCard"
15767954,0,Osborne,635,Germany,,28.0,3,81623.67,1,1,156791.36,"AutoLoan,PersonalLoan"
15757535,1,Heap,647,Spain,Female,44.0,5,0.0,1,1,174205.22,"InvestmentFund,MortgageLoan,CheckingAccount"
15731511,0,Ritchie,808,France,Male,,7,118626.55,1,0,147132.46,"CreditCard,CheckingAccount"
15809248,0,Cole,524,France,Female,36.0,10,0.0,1,0,109614.57,"CreditCard,CertificateOfDeposit"
15640635,0,Capon,769,France,Male,29.0,8,0.0,1,1,172290.61,"AutoLoan,MortgageLoan"
15676966,0,Capon,730,Spain,Male,42.0,4,0.0,0,1,85982.47,"PersonalLoan,InvestmentFund"
15699461,0,Fiorentini,515,Spain,Male,35.0,10,176273.95,0,1,121277.78,CertificateOfDeposit
15738721,0,Graham,773,Spain,Male,41.0,9,102827.44,0,1,64595.25,RetirementAccount
15693683,0,Yuille,814,Germany,Male,29.0,8,97086.4,1,1,197276.13,"CheckingAccount,SavingsAccount"
15604348,0,Allard,710,Spain,Male,22.0,8,0.0,0,0,99645.04,"InvestmentFund,AutoLoan"
15633059,0,Fanucci,413,France,Male,34.0,9,0.0,0,0,6534.18,"CheckingAccount,MortgageLoan"
15808582,0,Fu,665,France,Female,40.0,6,0.0,1,1,161848.03,CertificateOfDeposit
15743192,0,Hung,623,France,Female,44.0,6,0.0,0,0,167162.43,"CreditCard,CheckingAccount"
15580146,0,Hung,738,France,Male,31.0,9,82674.15,1,0,41970.72,MortgageLoan
15776605,0,Bradley,528,Spain,Male,36.0,7,0.0,1,0,60536.56,"AutoLoan,CheckingAccount"
15804919,1,Dunbabin,670,Spain,Female,65.0,1,0.0,1,1,177655.68,SavingsAccount
15613854,1,Mauldon,622,Spain,Female,46.0,4,107073.27,1,1,30984.59,"HomeEquityLoan,MortgageLoan"
15599195,0,Stiger,582,Germany,Male,32.0,1,88938.62,1,1,10054.53,AutoLoan
15812878,0,Parsons,785,,Female,,2,99806.85,0,1,36976.52,CertificateOfDeposit
15602312,0,Walkom,605,Spain,Male,33.0,5,150092.8,0,0,71862.79,SavingsAccount
15744689,1,T'ang,479,Germany,Male,35.0,9,92833.89,1,0,99449.86,MortgageLoan
15803526,0,Eremenko,685,Germany,Male,30.0,3,90536.81,0,1,63082.88,MortgageLoan
15665790,0,Rowntree,538,Germany,Male,39.0,7,108055.1,1,0,27231.26,"RetirementAccount,CreditCard"
15715951,0,Dr. Thorpe,562,France,Male,42.0,2,100238.35,0,0,86797.41,CreditCard
15591100,0,Chiemela,675,Spain,Male,36.0,9,106190.55,0,1,22994.32,InvestmentFund
15609618,1,Fanucci,721,Germany,Male,28.0,9,154475.54,0,1,101300.94,"SavingsAccount,MortgageLoan"
15675522,0,Ko,628,Germany,,30.0,9,132351.29,1,1,74169.13,"CertificateOfDeposit,PersonalLoan"
15705512,0,Welch,668,Germany,Female,37.0,6,167864.4,1,0,115638.29,CheckingAccount
15698028,0,Duncan,506,France,Female,41.0,1,0.0,1,0,31766.3,"SavingsAccount,CheckingAccount"
15661670,1,Chidozie,524,Germany,Female,31.0,8,107818.63,1,0,199725.39,PersonalLoan
15600781,0,Wu,699,Germany,Male,34.0,4,185173.81,1,0,120834.48,"CertificateOfDeposit,MortgageLoan"
15682472,0,Culbreth,828,France,Male,34.0,8,129433.34,0,0,38131.77,"PersonalLoan,RetirementAccount"
15580203,0,Kennedy,674,Spain,Male,39.0,6,120193.42,0,0,100130.95,InvestmentFund
15690673,0,Cameron,656,France,Female,39.0,6,0.0,1,0,141069.88,"HomeEquityLoan,PersonalLoan"
15760085,0,Calabresi,684,Germany,Female,48.0,10,126384.42,1,1,198129.36,CreditCard
15779659,0,Zetticci,625,France,Female,28.0,3,0.0,0,0,183646.41,MortgageLoan
15627360,1,Fuller,432,France,Male,42.0,9,152603.45,1,0,110265.24,AutoLoan
15671137,1,MacDonald,549,France,Female,52.0,1,0.0,0,1,8636.05,InvestmentFund
15782688,1,Piccio,625,Germany,Male,56.0,0,148507.24,1,0,46824.08,HomeEquityLoan
15575492,0,Kennedy,828,France,Female,41.0,7,0.0,1,0,171378.77,"RetirementAccount,AutoLoan"
15591607,0,Fernie,770,France,Male,24.0,9,101827.07,1,0,167256.35,MortgageLoan
15740404,0,He,758,France,Female,34.0,3,0.0,1,1,124226.16,"PersonalLoan,AutoLoan"
15718369,0,Kaodilinakachukwu,795,Germany,Female,33.0,9,130862.43,1,1,114935.21,CheckingAccount
15677871,0,Cocci,687,France,Male,38.0,9,122570.87,1,1,35608.88,InvestmentFund
15642004,0,Alekseeva,686,France,Male,25.0,1,0.0,0,1,16459.37,"CertificateOfDeposit,SavingsAccount"
15712543,0,Dr. Chinweike,789,Germany,Male,39.0,7,124828.46,1,1,124411.08,"AutoLoan,CertificateOfDeposit"
15584518,0,Arthur,589,Germany,Female,50.0,5,144895.05,1,1,34941.23,"RetirementAccount,CertificateOfDeposit"
15802381,0,Li,461,Germany,Female,34.0,5,63663.93,0,1,167784.28,CertificateOfDeposit
15610156,0,Ma,637,France,Male,40.0,2,133463.1,0,1,93165.34,MortgageLoan
15594408,1,Chia,584,Spain,Female,48.0,2,213146.2,1,0,75161.25,CreditCard
15640905,1,Dr. Vasin,579,Spain,Female,35.0,1,129490.36,0,1,8590.83,"RetirementAccount,InvestmentFund"
15698932,0,Dr. Groves,756,Germany,,44.0,10,137452.09,1,0,189543.9,PersonalLoan
15724944,0,Tien,663,France,Male,34.0,7,0.0,1,1,180427.24,"InvestmentFund,RetirementAccount"
15628145,0,Forwood,682,France,Female,43.0,5,125851.93,1,1,193318.33,HomeEquityLoan
15713483,1,Greeves,793,Spain,Male,52.0,2,0.0,1,0,159123.82,CertificateOfDeposit
15612350,1,Taylor,691,France,Female,31.0,5,40915.55,1,0,126213.84,MortgageLoan
15800703,0,Madukwe,485,Spain,Female,21.0,5,113157.22,1,1,54141.5,HomeEquityLoan
15705707,0,Bennelong,635,Spain,Female,29.0,8,138296.94,1,0,141075.51,"HomeEquityLoan,RetirementAccount"
15754105,0,Olisanugo,650,France,Male,37.0,5,106967.18,0,0,24495.03,RetirementAccount
15703264,0,Chukwufumnanya,735,France,Male,44.0,9,120681.63,1,0,74836.34,CreditCard
15794413,0,Harris,416,France,Male,32.0,0,0.0,0,1,878.87,"MortgageLoan,InvestmentFund"
15650237,0,Dr. Morgan,754,Spain,Female,32.0,7,0.0,1,0,89520.75,"SavingsAccount,CertificateOfDeposit"
15759618,1,Alexeeva,535,France,Female,48.0,9,0.0,1,0,149892.79,SavingsAccount
15811589,0,Metcalfe,716,Spain,Male,,8,0.0,1,0,180800.42,"CertificateOfDeposit,AutoLoan"
15689044,0,Humphries,539,France,Male,37.0,2,127609.59,1,0,98646.22,CertificateOfDeposit
15709368,0,Prof. Milne,614,France,Female,43.0,6,0.0,1,1,109041.53,"CreditCard,PersonalLoan"
15679145,1,Chou,706,Spain,Male,57.0,7,0.0,1,0,17941.16,RetirementAccount
15655007,0,Li,758,France,Female,33.0,7,0.0,0,0,82996.47,"PersonalLoan,InvestmentFund"
15623595,0,Clayton,586,Spain,Female,28.0,2,0.0,1,1,92067.35,"SavingsAccount,CertificateOfDeposit"
15589975,0,Maclean,646,France,Female,73.0,6,97259.25,0,1,104719.66,MortgageLoan
15804017,0,Chigolum,631,Germany,Female,33.0,4,123246.7,0,0,112687.57,CheckingAccount
15692132,0,Wilkinson,717,Spain,Female,22.0,6,101060.25,0,1,84699.56,SavingsAccount
15641122,0,Wei,684,France,Male,30.0,2,0.0,1,0,83473.82,"PersonalLoan,AutoLoan"
15630910,0,Treacy,800,France,Female,49.0,7,108007.36,0,0,47125.11,SavingsAccount
15680772,0,Hu,721,Spain,Female,36.0,2,0.0,1,1,106977.8,"CheckingAccount,CreditCard"
15658929,1,Taverner,683,Spain,Male,29.0,0,133702.89,1,0,55582.54,RetirementAccount
15585388,0,Sherman,660,,Male,31.0,9,125189.75,1,1,139874.43,"CertificateOfDeposit,SavingsAccount"
15724623,1,Taubman,704,Germany,Female,24.0,7,113034.22,1,0,162503.48,RetirementAccount
15588537,0,Robinson,615,Spain,Female,41.0,9,109013.23,1,0,196499.96,MortgageLoan
15574692,1,Pinto,667,Spain,Female,39.0,2,0.0,1,0,40721.24,"CreditCard,InvestmentFund"
15611325,0,Wood,682,Germany,Male,24.0,9,57929.81,0,0,53134.3,"CheckingAccount,CertificateOfDeposit"
15587562,0,Hawkins,484,France,Female,29.0,4,130114.39,1,0,164017.89,PersonalLoan
15613172,0,Sun,628,Germany,Male,27.0,5,95826.49,1,0,155996.96,"CreditCard,HomeEquityLoan"
15651022,1,Yost,480,Germany,Male,44.0,10,129608.57,1,0,5472.7,InvestmentFund
15586310,0,Ting,578,France,Male,30.0,4,169462.09,1,0,112187.11,MortgageLoan
15625524,0,Rowe,512,France,Male,40.0,5,0.0,1,1,146457.83,"AutoLoan,CreditCard"
15755209,0,Fu,484,Spain,Female,35.0,7,133868.21,1,1,27286.1,RetirementAccount
15645248,0,Ho,510,France,Female,30.0,0,0.0,1,1,130553.47,"RetirementAccount,HomeEquityLoan"
15790355,0,Okechukwu,606,Germany,Male,36.0,5,190479.48,0,0,179351.89,"RetirementAccount,SavingsAccount"
15762615,0,Dr. Campbell,597,Spain,Female,40.0,8,101993.12,0,1,94774.12,HomeEquityLoan
15625426,1,Ashbolt,754,Germany,Female,55.0,3,161608.81,1,0,8080.85,CertificateOfDeposit
15716334,0,Rozier,850,Spain,Female,45.0,2,122311.21,1,1,19482.5,InvestmentFund
15789669,0,Hsia,510,,Male,65.0,2,0.0,1,1,48071.61,"AutoLoan,RetirementAccount"
15621075,0,Dr. Ogbonnaya,778,Germany,Female,45.0,1,162150.42,1,0,174531.27,"PersonalLoan,RetirementAccount"
15810845,0,T'ang,636,France,Male,42.0,2,0.0,1,1,55470.78,"CertificateOfDeposit,SavingsAccount"
15719377,1,Cocci,804,France,Female,50.0,4,0.0,1,1,8546.87,InvestmentFund
15654506,0,Chang,514,France,Male,32.0,8,0.0,1,0,95857.18,"CertificateOfDeposit,CheckingAccount"
15771977,0,T'ao,730,France,Female,39.0,1,99010.67,1,0,194945.8,HomeEquityLoan
15708710,0,Ford,525,Spain,Female,37.0,0,0.0,0,1,131521.72,CertificateOfDeposit
15726676,0,Marshall,616,Spain,Male,30.0,5,0.0,0,1,196108.51,"CheckingAccount,AutoLoan"
15587421,0,Tsai,687,Germany,Female,34.0,7,111388.18,1,0,148564.76,"InvestmentFund,CreditCard"
15726931,1,Onwumelu,715,France,Female,41.0,8,56214.85,0,0,92982.61,"CheckingAccount,MortgageLoan"
15771086,0,Graham,512,France,Female,36.0,3,84327.77,1,0,17675.36,"InvestmentFund,RetirementAccount"
15756850,0,Dr. Golovanov,479,France,Male,40.0,1,0.0,0,0,114996.43,"CreditCard,MortgageLoan"
15702741,0,Potts,601,France,Male,32.0,8,93012.89,1,0,86957.42,HomeEquityLoan
15679200,0,Crawford,580,Spain,Male,29.0,9,61710.44,1,0,128077.8,"CreditCard,MortgageLoan"
15594815,0,Aleshire,807,France,Male,35.0,3,174790.15,1,1,600.36,HomeEquityLoan
15635905,0,Moran,616,Spain,Female,32.0,6,0.0,1,1,43001.46,"RetirementAccount,SavingsAccount"
15777892,0,Samsonova,721,Germany,Male,37.0,3,107720.64,1,1,158591.12,AutoLoan
15656176,0,Jenkins,501,France,Male,57.0,10,0.0,1,1,47847.19,"PersonalLoan,CheckingAccount"
15811127,0,Volkov,521,France,Male,35.0,6,96423.84,1,0,10488.44,AutoLoan
15604482,0,Chiemezie,850,Spain,Male,30.0,2,141040.01,1,1,5978.2,HomeEquityLoan
15622911,0,Jude,759,France,Male,42.0,4,105420.18,0,1,121409.06,PersonalLoan
15600974,1,He,516,Spain,Male,50.0,5,0.0,0,1,146145.93,CheckingAccount
15727868,1,Onuora,711,France,Female,38.0,2,129022.06,1,1,14374.86,"MortgageLoan,AutoLoan"
15627801,0,Ginikanwa,512,Spain,Male,33.0,3,176666.62,1,0,94670.77,RetirementAccount
15773039,0,Ku,550,France,Male,37.0,3,0.0,1,1,179670.31,CertificateOfDeposit
15755262,1,McDonald,608,Spain,Female,41.0,3,89763.84,0,0,199304.74,HomeEquityLoan
15679531,0,Collins,618,France,Male,34.0,5,134954.53,1,1,151954.39,AutoLoan
15684181,1,Hackett,643,France,Male,45.0,5,0.0,1,0,142513.5,CheckingAccount
15612087,0,Dike,671,France,Male,45.0,2,106376.85,0,1,158264.62,PersonalLoan
15752047,0,Trevisano,689,Germany,Male,33.0,2,161814.64,1,0,169381.9,"SavingsAccount,AutoLoan"
15624592,0,Tan,603,France,Male,31.0,8,0.0,1,1,169915.02,"CheckingAccount,PersonalLoan"
15573152,0,Glassman,620,France,Female,41.0,9,0.0,0,0,88852.47,"InvestmentFund,PersonalLoan"
15594917,0,Miller,676,France,Female,34.0,1,63095.01,1,1,40645.81,CheckingAccount
15785542,0,Kornilova,572,Germany,Male,26.0,4,118287.01,0,0,60427.3,"SavingsAccount,CertificateOfDeposit"
15723488,1,Watson,668,Germany,Male,47.0,7,106854.21,0,1,157959.02,CheckingAccount
15680920,0,Marchesi,695,France,Male,46.0,7,49512.55,1,0,133007.34,SavingsAccount
15786308,0,Millar,730,Spain,Female,33.0,9,0.0,0,0,176576.62,"InvestmentFund,CreditCard"
15659366,1,Shih,807,France,Male,43.0,1,105799.32,1,0,34888.04,"InvestmentFund,SavingsAccount"
15774854,1,Fuller,592,France,Male,54.0,8,0.0,1,1,28737.71,CreditCard
15725311,0,Hay,726,France,Female,31.0,9,114722.05,1,1,98178.57,"InvestmentFund,CreditCard"
15787155,0,Yang,514,Spain,Male,30.0,7,0.0,0,1,125010.24,PersonalLoan
15727829,0,McIntyre,567,France,Male,42.0,2,0.0,1,1,167984.61,"InvestmentFund,RetirementAccount"
15733247,1,Stevenson,850,France,Male,33.0,10,0.0,1,0,4861.72,AutoLoan
15568748,1,Poole,671,Germany,Male,45.0,6,99564.22,1,1,108872.45,PersonalLoan
15699029,0,Bagley,670,France,Male,37.0,4,170557.91,1,0,198252.88,"MortgageLoan,RetirementAccount"
15774393,0,Dr. Ch'ien,694,,Female,30.0,9,0.0,1,1,26960.31,"HomeEquityLoan,SavingsAccount"
15676895,1,Cattaneo,547,Germany,Female,39.0,6,74596.15,1,1,85746.52,"HomeEquityLoan,PersonalLoan,CheckingAccount"
15637753,1,O'Sullivan,751,Germany,Male,50.0,2,96888.39,1,0,77206.25,CheckingAccount
15605461,0,Lucas,594,Germany,Female,29.0,3,130830.22,1,0,61048.53,InvestmentFund
15808473,0,Ringrose,673,France,Male,72.0,1,0.0,0,1,111981.19,"PersonalLoan,HomeEquityLoan"
15627000,0,Freeman,610,France,Male,40.0,0,0.0,1,0,62232.6,"MortgageLoan,AutoLoan"
15787174,0,Sergeyev,512,France,Female,37.0,1,0.0,0,1,156105.03,"CertificateOfDeposit,CreditCard"
15723886,0,Fiore,767,Germany,Male,20.0,3,119714.25,0,1,150135.38,"RetirementAccount,CertificateOfDeposit"
15704769,0,Smith,585,France,Female,67.0,5,113978.97,0,1,93146.11,"CreditCard,HomeEquityLoan"
15772896,1,Dumetochukwu,763,Germany,Male,42.0,6,100160.75,1,0,33462.94,HomeEquityLoan
15711540,0,Pacheco,712,France,Female,29.0,2,0.0,1,1,144375.0,HomeEquityLoan
15764866,1,Synnot,539,Germany,Female,,3,116220.5,1,0,55803.96,"AutoLoan,MortgageLoan,CheckingAccount"
15794056,1,Johnston,668,France,Female,46.0,2,0.0,1,0,89048.46,"MortgageLoan,CheckingAccount,AutoLoan"
15795149,0,Stevens,703,France,Male,28.0,2,81173.83,0,1,162812.16,"InvestmentFund,CreditCard"
15812009,0,Dr. Grant,662,Spain,Male,38.0,4,0.0,1,0,136259.65,"RetirementAccount,HomeEquityLoan"
15651001,0,Dr. Tsao,725,Germany,Female,39.0,5,116803.8,1,0,124052.97,CertificateOfDeposit
15813844,0,Dr. Barnes,703,France,Male,,8,105961.68,0,1,74158.8,"MortgageLoan,CertificateOfDeposit"
15596175,1,McIntosh,659,Germany,Male,67.0,6,117411.6,1,1,45071.09,PersonalLoan
15576269,0,Madison,523,Spain,Male,34.0,7,0.0,1,0,62030.06,"PersonalLoan,HomeEquityLoan"
15797219,1,Ifesinachi,635,France,Female,40.0,10,123497.58,1,0,131953.23,RetirementAccount
15685500,0,Glazkov,772,Germany,Male,26.0,7,152400.51,1,0,79414.0,"MortgageLoan,HomeEquityLoan"
15599792,0,Dr. Dimauro,545,France,Female,26.0,1,0.0,1,1,199638.56,"AutoLoan,MortgageLoan"
15657566,0,Dr. Wieck,634,Germany,Male,24.0,8,103097.85,1,1,157577.29,CertificateOfDeposit
15772423,1,Liao,739,Germany,Male,54.0,8,126418.14,1,0,134420.75,CheckingAccount
15628112,0,Hughes,771,Germany,Female,36.0,5,77846.9,0,0,99805.99,SavingsAccount
15753754,0,Morrison,587,Spain,Female,34.0,1,0.0,1,1,97932.68,"HomeEquityLoan,RetirementAccount"
15793726,0,Matveyeva,681,France,Female,79.0,0,0.0,0,1,170968.99,"CertificateOfDeposit,HomeEquityLoan"
15694717,0,Ku,544,Germany,Male,37.0,2,79731.91,1,1,57558.95,MortgageLoan
15665834,0,Cheatham,696,Spain,Male,28.0,8,0.0,0,0,176713.47,InvestmentFund
15765297,0,Yao,766,Spain,Male,41.0,0,0.0,0,1,34283.23,"CheckingAccount,CreditCard"
15636684,0,Dr. Kirkland,727,France,Male,34.0,10,0.0,1,1,198637.34,"AutoLoan,MortgageLoan"
15592979,0,Rose,671,Germany,Female,34.0,6,37266.67,0,0,156917.12,"CreditCard,MortgageLoan"
15750803,0,Jess,693,France,Female,30.0,6,127992.25,1,1,50457.2,SavingsAccount
15607178,0,Welch,850,Germany,Male,38.0,3,54901.01,1,1,140075.55,CreditCard
15713853,0,Ifeajuna,732,Germany,Male,42.0,9,108748.08,1,1,65323.11,"InvestmentFund,RetirementAccount"
15673481,0,Prof. Morton,726,Spain,Female,48.0,6,99906.19,1,0,64323.24,InvestmentFund
15686776,0,Rossi,557,France,Female,32.0,6,184686.41,1,0,14956.44,"InvestmentFund,SavingsAccount"
